item	text	reverse	scale	variable
1	I am the life of the party	1	EX	ipip1
2	I feel little concern for others	-1	A	ipip2
3	I am always prepared	1	C	ipip3
4	I get stressed out easily	-1	ES	ipip4
5	I have a rich vocabulary	1	I	ipip5
6	I don't talk a lot	-1	EX	ipip6
7	I am interested in people	1	A	ipip7
8	I leave my belongings around	-1	C	ipip8
9	I am relaxed most of the time	1	ES	ipip9
10	I have difficulty understanding abstract ideas	-1	I	ipip10
11	I feel comfortable around people	1	EX	ipip11
12	I insult people	-1	A	ipip12
13	I pay attention to details	1	C	ipip13
14	I worry about things	-1	ES	ipip14
15	I have a vivid imagination	1	I	ipip15
16	I keep in the background	-1	EX	ipip16
17	I sympathize with others feelings	1	A	ipip17
18	I make a mess of things	-1	C	ipip18
19	I seldom feel blue	1	ES	ipip19
20	I am not interested in abstract ideas	-1	I	ipip20
21	I start conversations	1	EX	ipip21
22	I am not interested in other peoples problems	-1	A	ipip22
23	I get chores done right away	1	C	ipip23
24	I am easily disturbed	-1	ES	ipip24
25	I have excellent ideas	1	I	ipip25
26	I have little to say	-1	EX	ipip26
27	I have a soft heart	1	A	ipip27
28	I often forget to put things back in their proper place	-1	C	ipip28
29	I get upset easily	-1	ES	ipip29
30	I do not have a good imagination	-1	I	ipip30
31	I talk to a lot of different people at parties	1	EX	ipip31
32	I am not really interested in others	-1	A	ipip32
33	I like order	1	C	ipip33
34	I change my mood a lot	-1	ES	ipip34
35	I am quick to understand things	1	I	ipip35
36	I don't like to draw attention to myself	-1	EX	ipip36
37	I take time out for others	1	A	ipip37
38	I shirk my duties	-1	C	ipip38
39	I have frequent mood swings	-1	ES	ipip39
40	I use difficult words	1	I	ipip40
41	I don't mind being the center of attention	1	EX	ipip41
42	I feel others emotions	1	A	ipip42
43	I follow a schedule	1	C	ipip43
44	I get irritated easily	-1	ES	ipip44
45	I spend time reflecting on things	1	I	ipip45
46	I am quiet around strangers	-1	EX	ipip46
47	I make people feel at ease	1	A	ipip47
48	I am exacting in my work	1	C	ipip48
49	I often feel blue	-1	ES	ipip49
50	I am full of ideas	1	I	ipip50
